Date,Open,High,Low,Close,Adj Close,Volume
02-01-2003,879.820007,909.030029,879.820007,909.030029,909.030029,1229200000
03-01-2003,909.030029,911.25,903.070007,908.590027,908.590027,1130800000
06-01-2003,908.590027,931.77002,908.590027,929.01001,929.01001,1435900000
07-01-2003,929.01001,930.809998,919.929993,922.929993,922.929993,1545200000
08-01-2003,922.929993,922.929993,908.320007,909.929993,909.929993,1467600000
09-01-2003,909.929993,928.309998,909.929993,927.570007,927.570007,1560300000
10-01-2003,927.580017,932.890015,917.659973,927.570007,927.570007,1485400000
13-01-2003,927.570007,935.049988,922.049988,926.26001,926.26001,1396300000
14-01-2003,926.26001,931.659973,921.719971,931.659973,931.659973,1379400000
15-01-2003,931.659973,932.590027,916.700012,918.219971,918.219971,1432100000
16-01-2003,918.219971,926.030029,911.97998,914.599976,914.599976,1534600000
17-01-2003,914.599976,914.599976,899.02002,901.780029,901.780029,1358200000
21-01-2003,901.780029,906,887.619995,887.619995,887.619995,1335200000
22-01-2003,887.619995,889.73999,877.640015,878.359985,878.359985,1560800000
23-01-2003,878.359985,890.25,876.890015,887.340027,887.340027,1744550000
24-01-2003,887.340027,887.340027,859.710022,861.400024,861.400024,1574800000
27-01-2003,861.400024,863.950012,844.25,847.47998,847.47998,1435900000
28-01-2003,847.47998,860.76001,847.47998,858.539978,858.539978,1459100000
29-01-2003,858.539978,868.719971,845.859985,864.359985,864.359985,1595400000
30-01-2003,864.359985,865.47998,843.73999,844.609985,844.609985,1510300000
31-01-2003,844.609985,858.330017,840.340027,855.700012,855.700012,1578530000
03-02-2003,855.700012,864.640015,855.700012,860.320007,860.320007,1258500000
04-02-2003,860.320007,860.320007,840.190002,848.200012,848.200012,1451600000
05-02-2003,848.200012,861.630005,842.109985,843.590027,843.590027,1450800000
06-02-2003,843.590027,844.22998,833.25,838.150024,838.150024,1430900000
07-02-2003,838.150024,845.72998,826.700012,829.690002,829.690002,1276800000
10-02-2003,829.690002,837.159973,823.530029,835.969971,835.969971,1238200000
11-02-2003,835.969971,843.02002,825.090027,829.200012,829.200012,1307000000
12-02-2003,829.200012,832.119995,818.48999,818.679993,818.679993,1260500000
13-02-2003,818.679993,821.25,806.289978,817.369995,817.369995,1489300000
14-02-2003,817.369995,834.890015,815.030029,834.890015,834.890015,1404600000
18-02-2003,834.890015,852.869995,834.890015,851.169983,851.169983,1250800000
19-02-2003,851.169983,851.169983,838.789978,845.130005,845.130005,1075600000
20-02-2003,845.130005,849.369995,836.559998,837.099976,837.099976,1194100000
21-02-2003,837.099976,852.280029,831.47998,848.169983,848.169983,1398200000
24-02-2003,848.169983,848.169983,832.159973,832.580017,832.580017,1229200000
25-02-2003,832.580017,839.549988,818.539978,838.570007,838.570007,1483700000
26-02-2003,838.570007,840.099976,826.679993,827.549988,827.549988,1374400000
27-02-2003,827.549988,842.190002,827.549988,837.280029,837.280029,1287800000
28-02-2003,837.280029,847,837.280029,841.150024,841.150024,1373300000
03-03-2003,841.150024,852.340027,832.73999,834.809998,834.809998,1208900000
04-03-2003,834.809998,835.429993,821.960022,821.98999,821.98999,1256600000
05-03-2003,821.98999,829.869995,819,829.849976,829.849976,1332700000
06-03-2003,829.849976,829.849976,819.849976,822.099976,822.099976,1299200000
07-03-2003,822.099976,829.549988,811.22998,828.890015,828.890015,1368500000
10-03-2003,828.890015,828.890015,806.570007,807.47998,807.47998,1255000000
11-03-2003,807.47998,814.25,800.299988,800.72998,800.72998,1427700000
12-03-2003,800.72998,804.190002,788.900024,804.190002,804.190002,1620000000
13-03-2003,804.190002,832.02002,804.190002,831.900024,831.900024,1816300000
14-03-2003,831.890015,841.390015,828.26001,833.27002,833.27002,1541900000
17-03-2003,833.27002,862.789978,827.169983,862.789978,862.789978,1700420000
18-03-2003,862.789978,866.940002,857.359985,866.450012,866.450012,1555100000
19-03-2003,866.450012,874.98999,861.210022,874.02002,874.02002,1473400000
20-03-2003,874.02002,879.599976,859.01001,875.669983,875.669983,1439100000
21-03-2003,875.840027,895.900024,875.840027,895.789978,895.789978,1883710000
24-03-2003,895.789978,895.789978,862.02002,864.22998,864.22998,1293000000
25-03-2003,864.22998,879.869995,862.590027,874.73999,874.73999,1333400000
26-03-2003,874.73999,875.799988,866.469971,869.950012,869.950012,1319700000
27-03-2003,869.950012,874.150024,858.090027,868.52002,868.52002,1232900000
28-03-2003,868.52002,869.880005,860.830017,863.5,863.5,1227000000
